index,name,platform,rating,release_year
183,Madden NFL 2004,PS2,E,2003
377,FIFA Soccer 2004,PS2,NaN,2003
456,LEGO Batman: The Videogame,Wii,E10+,2008
475,wwe Smackdown vs. Raw 2006,PS2,T,2005
609,Space Invaders,2600,NaN,1980
627,Rock Band,X360,T,2007
657,Frogger's Adventures: Temple of the Frog,GBA,E,2001
678,LEGO Indiana Jones: The Original Adventures,Wii,E10+,2008
719,Call of Duty 3,Wii,,2006
805,Rock Band,Wii,T,2008
1131,Call of Duty: Black Ops,PC,M,2010
1142,Rock Band,PS3,T,2007
1301,Triple Play 99,PS,E,1998
1506,Adventure,2600,NaN,1979
1538,LEGO Batman: The Videogame,PSP,E10+,2008
1585,Combat,2600,NaN,1977
1609,LEGO Harry Potter: Years 5-7,Wii,E10+,2011
1650,NASCAR Thunder 2003,PS2,E,2002
1699,Hitman 2: Silent Assassin,XB,M,2002
1840,Rock Band,PS2,T,2007
1984,Legacy of Kain: Soul Reaver,PS,M,1999
2010,Donkey Kong Land III,GB,NaN,1997
2106,Air-Sea Battle,2600,NaN,1977
2108,Suikoden III,PS2,T,2002
2132,LEGO Harry Potter: Years 5-7,X360,E10+,2011
2157,Wheel of Fortune,PS2,NaN,NaN
2169,Yakuza 4,PS3,M,2010
2273,LEGO Harry Potter: Years 5-7,PS3,E10+,2011
2281,Namco Museum,XB,NaN,NaN
2361,Rhythm Heaven,Wii,NaN,NaN
2453,The Lord of the Rings: War in the North,X360,M,2011
2479,Madden NFL 07,PSP,E,2006
2492,MLB SlugFest 20-03,PS2,NaN,NaN
2522,The Lord of the Rings: War in the North,PS3,M,2011
2536,Shaun White Snowboarding,X360,T,2008
2572,PES 2009: Pro Evolution Soccer,PSP,NaN,2008
2773,WarioWare: Twisted!,GBA,E,2004
2849,Madden NFL 11,Wii,E,2010
2969,Test Drive Unlimited 2,X360,T,2011
3024,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,T,2005
3081,LEGO Harry Potter: Years 5-7,DS,E10+,2011
3187,Monster Hunter 2,PS2,NaN,2006
3223,Metal Gear Solid 2: Substance,XB,NaN,2002
3233,Test Drive Unlimited 2,PS3,T,2011
3289,Advance Wars: Days of Ruin,DS,E10+,2008
3352,The Golden Compass,Wii,E10+,2007
3413,Madden NFL 06,X360,E,2005
3459,NASCAR: Dirt to Daytona,PS2,E,2002
3486,Madden NFL 2002,XB,E,2001
3704,Def Jam: Fight for NY,XB,M,2004
3739,NBA Street Vol. 2,GC,E,2003
3883,Fishing Derby,2600,E,1980
3997,Wet,X360,M,2009
4127,Sonic the Hedgehog,PS3,E,2006
4132,Karate,2600,NaN,NaN
4205,Tiger Woods PGA Tour 07,Wii,E,2007
4220,Circus Atari,2600,NaN,1980
4294,The Chronicles of Riddick: Escape from Butcher Bay,XB,M,2004
4337,Maze Craze: A Game of Cops 'n Robbers,2600,NaN,NaN
4373,Silent Hill: Homecoming,X360,NaN,2008
4437,Super Breakout,2600,NaN,1981
4445,Robert Ludlum's The Bourne Conspiracy,X360,NaN,2008
4635,NHL Slapshot,Wii,E,2010
4648,TERA,PC,M,2012
4775,NFL GameDay 2003,PS2,NaN,NaN
4818,LEGO Harry Potter: Years 5-7,3DS,E10+,2011
4848,Harvest Moon: Save the Homeland,PS2,E,2001
4945,Robert Ludlum's The Bourne Conspiracy,PS3,NaN,2008
4959,Silent Hill: Homecoming,PS3,NaN,2008
5041,Hangman,2600,NaN,1978
5070,The Golden Compass,PSP,E10+,2007
5156,NBA Live 2003,XB,NaN,2002
5194,Cubix Robots for Everyone: Clash 'n' Bash,GBA,NaN,2002
5294,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,NaN,NaN
5326,Tropico 4,X360,T,2011
5336,Tomb Raider (2013),PC,NaN,NaN
5443,Bejeweled 3,DS,E,2010
5492,Custom Robo,N64,NaN,1999
5588,Final Fantasy XI,PS2,T,2002
5624,Singularity,X360,,2009
5642,Dragster,2600,E,1980
5655,All-Star Baseball 2005,PS2,E,2004
5769,Star Wars Jedi Knight II: Jedi Outcast,XB,T,2002
5800,Slot Machine,2600,NaN,1979
5857,The Dukes of Hazzard II: Daisy Dukes It Out,PS,NaN,2000
5874,Harvest Moon: The Tale of Two Towns,3DS,E,2012
5889,NBA Live 2003,GC,NaN,2002
5932,Shrek the Third,DS,E10+,2007
6019,Nicktoons: Battle for Volcano Island,GC,E,2006
6101,Haven: Call of the King,PS2,T,2002
6133,Unreal Championship 2: The Liandri Conflict,XB,M,2005
6180,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,T,2005
6199,Pac-Man Fever,GC,E,2002
6255,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,NaN,NaN
6266,Indy 500,2600,NaN,1977
6293,Disgaea 3: Absence of Detention,PSV,T,2012
6299,Flag Capture,2600,NaN,1978
6342,Gun,X360,M,2005
6356,Rock Revolution,PS3,T,2008
6476,LEGO Harry Potter: Years 5-7,PSP,E10+,2011
6624,College Hoops 2K6,PS2,E,2005
6636,Jonah Lomu Rugby Challenge,PS3,NaN,2011
6773,Mega Man X Collection,PS2,E,2006
6818,BioShock 2,PC,M,2010
6861,Singularity,PS3,,2009
6899,Danganronpa: Trigger Happy Havoc,PSP,M,2010
6954,Jet X20,PS2,NaN,NaN
6999,Tony Hawk's Downhill Jam,Wii,E10+,2006
7008,Tribes: Aerial Assault,PS2,T,2002
7108,Big Beach Sports 2,Wii,E,2010
7210,LEGO Harry Potter: Years 5-7,PC,E10+,2011
7332,Yu Yu Hakusho: Dark Tournament,PS2,T,2004
7353,Ghostbusters II,2600,NaN,NaN
