index,name,platform,rating,release_year
4,Pokemon Red/Pokemon Blue,GB,NaN,NaN
5,Tetris,GB,NaN,1988
12,Pokemon Gold/Pokemon Silver,GB,NaN,NaN
20,Pokemon Diamond/Pokemon Pearl,DS,NaN,NaN
25,Pokemon Ruby/Pokemon Sapphire,GBA,NaN,NaN
27,Pokemon Black/Pokemon White,DS,NaN,NaN
30,Pokémon Yellow: Special Pikachu Edition,GB,NaN,NaN
33,Pokemon X/Pokemon Y,3DS,NaN,NaN
46,Pokemon HeartGold/Pokemon SoulSilver,DS,NaN,NaN
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,NaN,NaN
50,Super Mario Land 2: 6 Golden Coins,GB,E,1992
56,Super Mario All-Stars,SNES,NaN,1993
58,Pokemon FireRed/Pokemon LeafGreen,GBA,NaN,NaN
59,Super Mario 64,DS,E,1996
72,Minecraft,X360,NaN,2010
83,Pokemon Black 2/Pokemon White 2,DS,NaN,NaN
87,Star Wars Battlefront (2015),PS4,NaN,NaN
96,Super Smash Bros. for Wii U and 3DS,3DS,NaN,NaN
108,Pokemon Sun/Moon,3DS,NaN,NaN
124,The Legend of Zelda,NES,NaN,NaN
133,Pokémon Crystal Version,GB,NaN,NaN
137,Street Fighter II: The World Warrior,SNES,NaN,1992
157,Tetris,NES,NaN,1988
167,Super Mario World,GBA,E,1990
174,Pokemon Pinball,GB,NaN,NaN
180,Minecraft,PS3,NaN,2010
187,Super Mario Bros. 3,GBA,NaN,1988
189,Super Mario Land 3: Wario Land,GB,NaN,NaN
195,Microsoft Flight Simulator,PC,NaN,1986
198,Mario & Sonic at the Olympic Games,DS,E,2007
201,Super Mario Bros.,GB,NaN,NaN
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,NaN,NaN
215,Monster Hunter Freedom 3,PSP,NaN,NaN
216,Super Smash Bros. for Wii U and 3DS,WiiU,NaN,NaN
240,Pitfall!,2600,NaN,NaN
259,The Legend of Zelda: Ocarina of Time,3DS,NaN,NaN
261,Minecraft,PS4,NaN,2010
285,Super Mario World 2: Yoshi's Island,SNES,NaN,NaN
286,FIFA Soccer 07,PS2,E,2006
296,Namco Museum Vol.3,PS,E,1997
318,Nintendogs + cats,3DS,NaN,NaN
321,Namco Museum Vol.1,PS,E,1997
327,Resident Evil Director's Cut,PS,NaN,NaN
339,Pokémon Trading Card Game,GB,NaN,NaN
340,Friend Collection,DS,NaN,NaN
342,Star Wars Battlefront (2015),XOne,NaN,NaN
362,Croc: Legend of the Gobbos,PS,E,1997
374,Kung Fu,NES,NaN,1984
382,Mario & Sonic at the Olympic Winter Games,DS,NaN,2009
385,Monster Hunter 4,3DS,NaN,NaN
392,F-1 Race,GB,NaN,1991
403,English Training: Have Fun Improving Your Skills!,DS,NaN,NaN
412,Yokai Watch 2 Ganso/Honke,3DS,NaN,NaN
416,Gran Turismo (PSP),PSP,NaN,NaN
423,007: Tomorrow Never Dies,PS,T,1999
427,Killer Instinct,SNES,T,1995
428,Dragon Quest VI: Maboroshi no Daichi,SNES,NaN,1995
441,Star Wars Episode I Racer,N64,E,1999
443,Dragon Warrior IV,NES,NaN,1992
453,World Class Track Meet,NES,NaN,NaN
454,Donkey Kong,GB,E,1981
476,Star Fox,SNES,NaN,1983
495,Super Mario World 2: Yoshi's Island,GBA,NaN,NaN
515,WWE SmackDown! vs. Raw,PS2,T,2004
530,Dragon Quest V: Tenkuu no Hanayome,SNES,NaN,NaN
535,Ratchet & Clank: Going Commando,PS2,T,2003
543,Minecraft,XOne,NaN,2010
547,Mario Paint,SNES,E,1992
549,Pokémon Stadium 2,N64,NaN,NaN
563,Yokai Watch 2 Shinuchi,3DS,NaN,NaN
574,Super Mario Bros.: The Lost Levels,NES,NaN,NaN
584,Pac-Man: Adventures in Time,PSP,E,2000
600,Super Mario All-Stars: Limited Edition,Wii,E,2010
603,Ghostbusters: The Video Game (DS Version),X360,NaN,NaN
609,Space Invaders,2600,E,1999
617,PES 2009: Pro Evolution Soccer,PS2,E,2008
620,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,NaN,NaN
654,Tetris Plus,PS,E,1996
655,Pro Wrestling,NES,NaN,1987
659,,GEN,NaN,2019
674,Dragon Warrior Monsters,GB,E,1998
694,Yokai Watch Busters,3DS,NaN,NaN
703,TOCA Touring Car Championship,PS,NaN,NaN
711,Cool Boarders 2,PS,E,1997
725,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,NaN,NaN
731,The Legend of Zelda: Link's Awakening DX,GB,NaN,NaN
740,Pro Yakyuu Family Stadium,NES,NaN,NaN
741,Wario Land 3,GB,E,2000
745,High School Musical: Makin' the Cut!,DS,NaN,NaN
752,Yu-Gi-Oh: Duel Monsters 4,GB,NaN,NaN
757,Tennis,NES,NaN,1985
770,R.C. Pro-Am,NES,NaN,NaN
772,Mahjong,NES,NaN,2011
773,Demon Attack,2600,NaN,1982
783,PES 2009: Pro Evolution Soccer,PS3,E,2008
788,Project Gotham Racing (JP weekly sales),XB,NaN,NaN
794,Derby Stallion,PS,NaN,1997
