index,name,platform,rating,release_year
2157,Wheel of Fortune,PS2,NaN,1987
2281,Namco Museum,XB,E,2002
2361,Rhythm Heaven,Wii,E,2009
2492,MLB SlugFest 20-03,PS2,E,2002
4132,Karate,2600,NaN,1982
4337,Maze Craze: A Game of Cops 'n Robbers,2600,NaN,1980
4775,NFL GameDay 2003,PS2,E,2002
5294,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,NaN,NaN
5336,Tomb Raider (2013),PC,NaN,NaN
6255,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,NaN,NaN
6954,Jet X20,PS2,NaN,NaN
7353,Ghostbusters II,2600,NaN,1989
7354,Breakaway IV,2600,NaN,NaN
7391,Valkyria Chronicles III: Unrecorded Chronicles,PSP,NaN,NaN
7406,DanceDanceRevolution II,Wii,NaN,NaN
7605,Famista 64,N64,NaN,1997
8212,Teen Titans,GBA,E10+,2006
8364,Sword of the Samurai,PS2,NaN,1989
9738,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,NaN,NaN
9761,Saru! Get You! Million Monkeys,PS2,NaN,NaN
10486,Atsumare! Power Pro Kun no DS Koushien,DS,NaN,NaN
10686,Happy Feet Two,DS,NaN,NaN
10764,Luminous Arc 2 (JP sales),DS,NaN,NaN
10837,Egg Monster Hero,DS,NaN,NaN
11092,Action Man-Operation Extreme,PS,T,2000
11338,Charm Girls Club: My Fashion Show,DS,E,2009
11622,Happy Feet Two,Wii,NaN,NaN
11790,Mega Man Battle Network: Operation Shooting Star,DS,NaN,NaN
12003,Tornado,DS,NaN,1993
12209,Build-A-Bear Workshop: Friendship Valley,Wii,NaN,2010
12235,National Geographic Challenge!,X360,NaN,NaN
12524,Chou Soujuu Mecha MG,DS,NaN,NaN
12568,Prinny: Can I Really Be The Hero? (US sales),PSP,NaN,NaN
12880,Jewel Link Chronicles: Mountains of Madness,DS,E10+,2012
13142,GRID,DS,NaN,2008
13195,Tour de France 2011,X360,NaN,NaN
13289,Reader Rabbit 2nd Grade,Wii,NaN,NaN
13317,Monster Hunter Frontier Online,PS3,NaN,NaN
13609,Battle vs. Chess,PS3,NaN,2011
13874,Luxor: Pharaoh's Challenge,Wii,NaN,NaN
14105,Half-Minute Hero 2,PSP,NaN,NaN
14126,Housekeeping,DS,NaN,NaN
14252,Swords,Wii,T,2010
14350,Bikkuriman Daijiten,DS,NaN,NaN
14369,Majesty 2: The Fantasy Kingdom Sim,X360,NaN,2009
14597,Samurai Spirits: Tenkaichi Kenkakuden,PS2,NaN,NaN
15022,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,NaN,NaN
15079,Payout Poker & Casino,PSP,T,2006
15267,Saint,Wii,E10+,2009
15338,Mario Tennis,3DS,E,2000
15557,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,NaN,NaN
15704,Writing and Speaking Beautiful Japanese DS,DS,NaN,NaN
15795,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,NaN,NaN
15953,PDC World Championship Darts 2008,DS,NaN,2008
15998,Jet Impulse,DS,NaN,NaN
16017,Dream Dancer,DS,E,2009
16059,Dance! It's Your Stage,Wii,NaN,NaN
16288,Shorts,DS,NaN,2009
16293,AKB1/48: Idol to Guam de Koishitara...,X360,NaN,NaN
16329,Brothers in Arms: Furious 4,X360,NaN,NaN
16348,Agarest Senki: Re-appearance,PS3,NaN,NaN
16458,Hakuouki: Shinsengumi Kitan,PS3,NaN,NaN
